# TIPOS DE CAMBIO USD - VENTA (Bs./M.E.) | BCV Venezuela
# Páginas procesadas: [0, 1, 2]
# Total registros: 1446
# Generado: 2026-04-03 02:01:52
# Formato: FECHA_VALOR | TASA_VENTA | TRIMESTRE | HOJA_EXCEL
----------------------------------------------------------------------------------------------------
30/03/2020 |   77893.460500 | Año 2020, Trimestre I | 27032020
31/03/2020 |   80270.097700 | Año 2020, Trimestre I | 30032020
01/04/2020 |   80945.724500 | Año 2020, Trimestre I | 31032020
02/04/2020 |   83375.719000 | Año 2020, Trimestre II | 01042020
03/04/2020 |   84693.321100 | Año 2020, Trimestre II | 02042020
06/04/2020 |   86657.878900 | Año 2020, Trimestre II | 03042020
07/04/2020 |   91832.061100 | Año 2020, Trimestre II | 06042020
08/04/2020 |   96632.432400 | Año 2020, Trimestre II | 07042020
13/04/2020 |  100980.129600 | Año 2020, Trimestre II | 08042020
14/04/2020 |  105906.694200 | Año 2020, Trimestre II | 13042020
15/04/2020 |  113833.969200 | Año 2020, Trimestre II | 14042020
16/04/2020 |  120860.409300 | Año 2020, Trimestre II | 15042020
17/04/2020 |  125975.089200 | Año 2020, Trimestre II | 16042020
20/04/2020 |  125574.032800 | Año 2020, Trimestre II | 17042020
21/04/2020 |  128044.280600 | Año 2020, Trimestre II | 20042020
22/04/2020 |  129093.068400 | Año 2020, Trimestre II | 21042020
23/04/2020 |  144957.190100 | Año 2020, Trimestre II | 22042020
24/04/2020 |  171575.509000 | Año 2020, Trimestre II | 23042020
27/04/2020 |  171072.850000 | Año 2020, Trimestre II | 24042020
28/04/2020 |  170342.678300 | Año 2020, Trimestre II | 27042020
29/04/2020 |  175659.842600 | Año 2020, Trimestre II | 28042020
30/04/2020 |  176563.071900 | Año 2020, Trimestre II | 29042020
04/05/2020 |  176538.040300 | Año 2020, Trimestre II | 30042020
05/05/2020 |  175414.081600 | Año 2020, Trimestre II | 04052020
06/05/2020 |  171874.546400 | Año 2020, Trimestre II | 05052020
07/05/2020 |  169363.887400 | Año 2020, Trimestre II | 06052020
08/05/2020 |  172952.825700 | Año 2020, Trimestre II | 07052020
11/05/2020 |  179019.259600 | Año 2020, Trimestre II | 08052020
12/05/2020 |  179104.575300 | Año 2020, Trimestre II | 11052020
13/05/2020 |  178532.441200 | Año 2020, Trimestre II | 12052020
14/05/2020 |  179041.343900 | Año 2020, Trimestre II | 13052020
15/05/2020 |  181675.876600 | Año 2020, Trimestre II | 14052020
18/05/2020 |  183048.298800 | Año 2020, Trimestre II | 15052020
19/05/2020 |  183337.601200 | Año 2020, Trimestre II | 18052020
20/05/2020 |  182834.224600 | Año 2020, Trimestre II | 19052020
21/05/2020 |  183533.834100 | Año 2020, Trimestre II | 20052020
22/05/2020 |  188129.907400 | Año 2020, Trimestre II | 21052020
26/05/2020 |  193404.588300 | Año 2020, Trimestre II | 22052020
27/05/2020 |  193464.324000 | Año 2020, Trimestre II | 26052020
28/05/2020 |  196049.756600 | Año 2020, Trimestre II | 27052020
29/05/2020 |  197214.954700 | Año 2020, Trimestre II | 28052020
01/06/2020 |  198110.590700 | Año 2020, Trimestre II | 29052020
02/06/2020 |  197794.742200 | Año 2020, Trimestre II | 01062020
03/06/2020 |  197189.039600 | Año 2020, Trimestre II | 02062020
04/06/2020 |  197515.010100 | Año 2020, Trimestre II | 03062020
05/06/2020 |  198651.705000 | Año 2020, Trimestre II | 04062020
08/06/2020 |  199030.933300 | Año 2020, Trimestre II | 05062020
09/06/2020 |  198185.102800 | Año 2020, Trimestre II | 08062020
10/06/2020 |  197893.706800 | Año 2020, Trimestre II | 09062020
11/06/2020 |  201166.302500 | Año 2020, Trimestre II | 10062020
12/06/2020 |  202465.550800 | Año 2020, Trimestre II | 11062020
15/06/2020 |  203257.509300 | Año 2020, Trimestre II | 12062020
16/06/2020 |  203505.206700 | Año 2020, Trimestre II | 15062020
17/06/2020 |  203639.643600 | Año 2020, Trimestre II | 16062020
18/06/2020 |  203457.858700 | Año 2020, Trimestre II | 17062020
19/06/2020 |  202883.193700 | Año 2020, Trimestre II | 18062020
22/06/2020 |  202838.891200 | Año 2020, Trimestre II | 19062020
23/06/2020 |  201738.573100 | Año 2020, Trimestre II | 22062020
25/06/2020 |  201961.398700 | Año 2020, Trimestre II | 23062020
26/06/2020 |  202157.017000 | Año 2020, Trimestre II | 25062020
30/06/2020 |  202331.510100 | Año 2020, Trimestre II | 26062020
01/07/2020 |  204417.691600 | Año 2020, Trimestre II | 30062020
02/07/2020 |  205028.174400 | Año 2020, Trimestre III | 01072020
03/07/2020 |  205733.565100 | Año 2020, Trimestre III | 02072020
06/07/2020 |  206970.560300 | Año 2020, Trimestre III | 03072020
07/07/2020 |  207722.248200 | Año 2020, Trimestre III | 06072020
08/07/2020 |  208216.750800 | Año 2020, Trimestre III | 07072020
09/07/2020 |  211675.008700 | Año 2020, Trimestre III | 08072020
10/07/2020 |  214006.508700 | Año 2020, Trimestre III | 09072020
13/07/2020 |  215992.721400 | Año 2020, Trimestre III | 10072020
14/07/2020 |  216906.428500 | Año 2020, Trimestre III | 13072020
15/07/2020 |  219799.449700 | Año 2020, Trimestre III | 14072020
16/07/2020 |  220983.827800 | Año 2020, Trimestre III | 15072020
17/07/2020 |  223823.822400 | Año 2020, Trimestre III | 16072020
20/07/2020 |  226660.250400 | Año 2020, Trimestre III | 17072020
21/07/2020 |  228860.136300 | Año 2020, Trimestre III | 20072020
22/07/2020 |  231749.701800 | Año 2020, Trimestre III | 21072020
23/07/2020 |  237210.185300 | Año 2020, Trimestre III | 22072020
27/07/2020 |  241970.780900 | Año 2020, Trimestre III | 23072020
28/07/2020 |  245056.036300 | Año 2020, Trimestre III | 27072020
29/07/2020 |  249580.482500 | Año 2020, Trimestre III | 28072020
30/07/2020 |  249681.547300 | Año 2020, Trimestre III | 29072020
31/07/2020 |  258364.812000 | Año 2020, Trimestre III | 30072020
03/08/2020 |  259096.090100 | Año 2020, Trimestre III | 31072020
04/08/2020 |  262561.243800 | Año 2020, Trimestre III | 03082020
05/08/2020 |  263070.170000 | Año 2020, Trimestre III | 04082020
06/08/2020 |  265597.906100 | Año 2020, Trimestre III | 05082020
07/08/2020 |  271032.217800 | Año 2020, Trimestre III | 06082020
10/08/2020 |  278038.647700 | Año 2020, Trimestre III | 07082020
11/08/2020 |  284601.268500 | Año 2020, Trimestre III | 10082020
12/08/2020 |  284125.312800 | Año 2020, Trimestre III | 11082020
13/08/2020 |  284003.015400 | Año 2020, Trimestre III | 12082020
14/08/2020 |  287367.734800 | Año 2020, Trimestre III | 13082020
17/08/2020 |  294657.389000 | Año 2020, Trimestre III | 14082020
18/08/2020 |  290276.441700 | Año 2020, Trimestre III | 17082020
19/08/2020 |  292528.132700 | Año 2020, Trimestre III | 18082020
20/08/2020 |  296769.194000 | Año 2020, Trimestre III | 19082020
21/08/2020 |  303537.998700 | Año 2020, Trimestre III | 20082020
24/08/2020 |  305452.457900 | Año 2020, Trimestre III | 21082020
25/08/2020 |  306257.254800 | Año 2020, Trimestre III | 24082020
26/08/2020 |  307991.141400 | Año 2020, Trimestre III | 25082020
27/08/2020 |  312841.763200 | Año 2020, Trimestre III | 26082020
28/08/2020 |  316590.047900 | Año 2020, Trimestre III | 27082020
31/08/2020 |  324611.695600 | Año 2020, Trimestre III | 28082020
01/09/2020 |  327748.890300 | Año 2020, Trimestre III | 31082020
02/09/2020 |  329553.298300 | Año 2020, Trimestre III | 01092020
03/09/2020 |  335021.059000 | Año 2020, Trimestre III | 02092020
04/09/2020 |  338778.054800 | Año 2020, Trimestre III | 03092020
07/09/2020 |  349431.429300 | Año 2020, Trimestre III | 04092020
08/09/2020 |  355743.311600 | Año 2020, Trimestre III | 07092020
09/09/2020 |  358855.378200 | Año 2020, Trimestre III | 08092020
10/09/2020 |  360514.348500 | Año 2020, Trimestre III | 09092020
11/09/2020 |  360855.244800 | Año 2020, Trimestre III | 10092020
15/09/2020 |  363164.976100 | Año 2020, Trimestre III | 11092020
16/09/2020 |  365927.067000 | Año 2020, Trimestre III | 15092020
17/09/2020 |  366226.755200 | Año 2020, Trimestre III | 16092020
18/09/2020 |  369326.474900 | Año 2020, Trimestre III | 17092020
21/09/2020 |  374236.251300 | Año 2020, Trimestre III | 18092020
22/09/2020 |  375312.202800 | Año 2020, Trimestre III | 21092020
23/09/2020 |  386868.139800 | Año 2020, Trimestre III | 22092020
24/09/2020 |  392128.504700 | Año 2020, Trimestre III | 23092020
25/09/2020 |  399396.538100 | Año 2020, Trimestre III | 24092020
28/09/2020 |  414379.051500 | Año 2020, Trimestre III | 25092020
29/09/2020 |  421193.870500 | Año 2020, Trimestre III | 28092020
30/09/2020 |  430670.164700 | Año 2020, Trimestre III | 29092020
01/10/2020 |  436677.449300 | Año 2020, Trimestre III | 30092020
02/10/2020 |  437053.744000 | Año 2020, Trimestre IV | 01102020
05/10/2020 |  438517.601700 | Año 2020, Trimestre IV | 02102020
06/10/2020 |  437770.216800 | Año 2020, Trimestre IV | 05102020
07/10/2020 |  440722.838500 | Año 2020, Trimestre IV | 06102020
08/10/2020 |  441688.401800 | Año 2020, Trimestre IV | 07102020
09/10/2020 |  450104.480800 | Año 2020, Trimestre IV | 08102020
13/10/2020 |  452306.110200 | Año 2020, Trimestre IV | 09102020
14/10/2020 |  452892.854800 | Año 2020, Trimestre IV | 13102020
15/10/2020 |  450719.557000 | Año 2020, Trimestre IV | 14102020
16/10/2020 |  450854.142100 | Año 2020, Trimestre IV | 15102020
19/10/2020 |  452844.150600 | Año 2020, Trimestre IV | 16102020
20/10/2020 |  455306.540000 | Año 2020, Trimestre IV | 19102020
21/10/2020 |  456920.327600 | Año 2020, Trimestre IV | 20102020
22/10/2020 |  457242.119000 | Año 2020, Trimestre IV | 21102020
23/10/2020 |  459954.390300 | Año 2020, Trimestre IV | 22102020
26/10/2020 |  462415.971200 | Año 2020, Trimestre IV | 23102020
27/10/2020 |  464291.482800 | Año 2020, Trimestre IV | 26102020
28/10/2020 |  471188.804700 | Año 2020, Trimestre IV | 27102020
29/10/2020 |  488217.000100 | Año 2020, Trimestre IV | 28102020
